,product,positive,negative
95,Wilton Black Dots Standard Baking Cups,99.0,1.0
116,"42 Dual Drop Leaf Table with 2 Madrid Chairs""",99.0,1.0
140,"Carson-Dellosa Publishing Photographic Learning Cards Boxed Set, Nouns/verbs/adjectives, Grades K-12",99.0,1.0
31,Bi-O-kleen Spray & Wipe All Purpose Cleaner,98.5,1.5
172,Blue Anchor Design Throw Pillow (18x18) - Rizzy Home,98.0,2.0
180,Noosa Honey Yogurt,98.0,2.0
207,Progresso Traditional Chicken Rice With Vegetables Soup,97.0,3.0
216,"Iman Luxury Moisturizing Lipstick, Black Brandy 006",97.0,3.0
229,Cantu Coconut Milk Shine Hold Mist - 8oz,96.5,3.5
25,Citrus Magic Instant Spot & Stain Remover,96.0,4.0
176,Pacific Natural Foods Organic Beef Broth,96.0,4.0
243,"Bodycology Nourishing Body Cream, Pretty In Paris",96.0,4.0
29,"The Seaweed Bath Co. Argan Conditioner, Smoothing Citrus",95.0,5.0
42,King Ralph (dvd),94.0,6.0
138,Tramontina Ceramica 10 Piece Cookware Set - Red,93.0,7.0
238,Walkers Stem Ginger Shortbread,93.0,7.0
246,Meguiars Interior Detailer Wipes 25ct,93.0,7.0
1,Lundberg Organic Cinnamon Toast Rice Cakes,92.5,7.5
27,Black Sister's Revenge (dvd),92.0,8.0
26,La Tortilla Factory Hand Made Style Tortillas Flour,92.0,8.0
251,L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz,91.76,8.24
170,Starbucks Iced Expresso Classics Vanilla Latte Coffee Beverage - 40oz,91.75,8.25
22,"Cetaphil Gentle Skin Cleanser, 2oz",91.71,8.29
41,My Big Fat Greek Wedding 2 (blu-Ray + Dvd + Digital),91.05,8.95
152,Lynk Professional174 Pull Out Cutting Board Bakeware Sliding Cabinet Organizer,91.0,9.0
100,Romantic Drama: Greatest Classic Films Collection 2 Discs,90.75,9.25
163,"Ogx Conditioner, Hydrating Teatree Mint",90.17,9.83
235,Ceiling Fan With Light White 14.2 X 29.9 X 9.2 - Hunter Fan,90.0,10.0
18,Craft Punch Giga Scallop Circle 45 24687534 To 334,90.0,10.0
149,Pleasant Hearth Diamond Fireplace Screen - Espresso,89.97,10.03
185,Stacy's Garden Veggie Medley Pita Chips,89.5,10.5
147,Gain Original Scent Liquid Fabric Softener 129 Oz,89.33,10.67
195,Mia Shower Curtain Green/brown - Lush Decor174,89.27,10.73
14,Solo Foods Almond Paste,89.2,10.8
37,Sea Gull Lighting Ceiling Fan - White,89.0,11.0
215,Stargate (ws) (ultimate Edition) (director's Cut) (dvdvideo),88.77,11.23
155,Plum Organics Just Prunes,88.5,11.5
199,Maybelline Clean Express! Makeup Removing Lotion,88.33,11.67
81,Red (special Edition) (dvdvideo),88.27,11.73
146,Kohler 10280-4 Fort Bath Spout With Sculpted Lift Rod and 1/2-in NPT Connection,88.25,11.75
182,If A Man Answers (dvd),88.06,11.94
66,"Newman's Own Organics Licorice Twist, Black 5oz",88.0,12.0
39,Herr's Baked Cheese Curls,88.0,12.0
178,"Jergens Extra Moisturizing Liquid Hand Wash, 7.5oz",87.78,12.22
53,Sopranos:Season 6 Part 1 (blu-Ray),87.75,12.25
96,Mrs. Meyer's174 Lemon Verbena Laundry Scent Booster - 18oz,87.67,12.33
160,Reebok Classic Leather Running Shoes - White (Men),87.4,12.6
213,Tim Holtz Retractable Craft Pick-Red 6x.5,87.0,13.0
104,Charcoal Stone Toothbrush Holder Gray,87.0,13.0
98,Avery174 11-1/4 X 9-1/4 Index Maker Extra Wide Label Dividers With 5 Tab - Clear (5 Sets Per Pack),87.0,13.0
0,Pink Friday: Roman Reloaded Re-Up (w/dvd),87.0,13.0
4,Ambi Complexion Cleansing Bar,87.0,13.0
168,Clorox Disinfecting Bathroom Cleaner,86.92,13.08
28,Sea Gull Lighting Six Light Bath Sconce/vanity - Brushed Nickel,86.33,13.67
231,Planes: Fire Rescue (2 Discs) (includes Digital Copy) (blu-Ray/dvd),86.32,13.68
129,Elvis Presley - Girl Happy (cd),86.0,14.0
79,100:Complete First Season (blu-Ray),85.91,14.09
228,"Smead174 2 1/4 Inch Accordion Expansion Wallet, Poly, Letter, Translucent Green",85.5,14.5
30,"Way Basics 3-Shelf Eco Narrow Bookcase Storage Shelf, Espresso - Formaldehyde Free - Lifetime Guarantee",85.48,14.52
86,Chips Deluxe Soft 'n Chewy Cookies,85.33,14.67
224,Ogx Anti-breakage Keratin Oil 3 Minute Miraculous Recovery,85.25,14.75
220,Jolly Time Select Premium Yellow Pop Corn,85.22,14.78
32,Yes To Carrots Nourishing Body Wash,85.18,14.82
221,Leslie Sansone:Belly Blasting Walk (dvd),85.17,14.83
156,"Candy Pink Plastic Cups, 20 pk",85.0,15.0
110,Mill Creek Aloe Vera & Paba Lotion,85.0,15.0
237,Tostitos Original Restaurant Style Tortilla Chips,85.0,15.0
99,"Iman Second To None Stick Foundation, Clay 1",84.8,15.2
58,Eagle Fat Free Sweetened Condensed Milk,84.8,15.2
97,Cuisinart174 Electric Juicer - Stainless Steel Cje-1000,84.74,15.26
3,"J.R. Watkins Hand Cream, Lemon Cream",84.67,15.33
40,Hawaiian Punch Berry Limeade Blast Juice,84.36,15.64
85,"Avery174 Ready Index Contemporary Table Of Contents Divider, 1-8, Multi, Letter",84.17,15.83
59,"Pinaud Clubman Styling Gel, Superhold",84.0,16.0
84,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,83.82,16.18
210,Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd,83.66,16.34
11,"Aussie Aussome Volume Shampoo, 13.5 Oz",83.61,16.39
171,Head & Shoulders Classic Clean Conditioner,83.39,16.61
109,Kraus FVS-1007 Single Hole Vessel Bathroom Faucet from the Ramus Collection,83.37,16.63
54,Tresemme Kertatin Smooth Infusing Conditioning,83.12,16.88
16,Disney174 Jake And The Neverland Pirates 4 Piece Bedding Set - Toddler,83.0,17.0
44,The Script - No Sound Without Silence (cd),82.97,17.03
188,Hollywood Beauty Olive Cholesterol,82.67,17.33
122,Tostitos Simply Blue Corn Tortilla Chips,82.65,17.35
162,Delta Single Handle Shower Faucet,82.64,17.36
64,Sabre 2 Pack Door And Window Alarm,82.62,17.38
236,Concept Housewares 36 Natural Wood ceiling mounted pot rack,82.5,17.5
222,Boraam Sonoma Kitchen Cart With Wire Brush Gray - Maaya Home,82.36,17.64
225,Meguiar's Ultimate Quik Detailer 22-Oz.,82.33,17.67
